,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,rating,G,PG,PG-13,R,unrated,superstar,years_old
942,Color,Rawson Marshall Thurber,177.0,107.0,43.0,569.0,Thomas Kretschmann,12000.0,126088877.0,Dwayne Johnson,Central Intelligence ,33354,14569,Megan Park,2.0,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,110.0,English,USA,PG-13,50000000.0,2016-01-01,919.0,6.6,PG-13,0,0,1,0,0,0,0
943,Color,Chris Columbus,65.0,124.0,0.0,701.0,Liam Aiken,8000.0,91030827.0,Julia Roberts,Stepmom ,46482,9988,Herbert Russell,2.0,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,252.0,English,USA,PG-13,50000000.0,1998-01-01,818.0,6.7,PG-13,0,0,1,0,0,0,18
944,Color,Sean Anders,145.0,96.0,51.0,322.0,Linda Cardellini,8000.0,150315155.0,Will Ferrell,Daddy's Home ,54010,10886,Mark L. Young,2.0,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,130.0,English,USA,PG-13,50000000.0,2015-01-01,2000.0,6.1,PG-13,0,0,1,0,0,0,1
945,Color,Rob Marshall,321.0,125.0,252.0,10000.0,Meryl Streep,40000.0,127997349.0,Johnny Depp,Into the Woods ,101178,62837,Anna Kendrick,1.0,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,779.0,English,USA,PG,50000000.0,2014-01-01,11000.0,6.0,PG,0,1,0,0,0,1,2
946,Color,Spike Lee,230.0,129.0,0.0,277.0,James Ransone,18000.0,88504640.0,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,2.0,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,646.0,English,USA,R,45000000.0,2006-01-01,412.0,7.6,R,0,0,0,1,0,0,10
947,Color,Brian Helgeland,143.0,90.0,241.0,416.0,Deborah Kara Unger,1000.0,81517441.0,Bill Duke,Payback ,111368,3148,William Devane,1.0,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,394.0,English,USA,R,50000000.0,1999-01-01,495.0,7.1,R,0,0,0,1,0,0,17
948,Color,Frank Marshall,55.0,109.0,155.0,293.0,Joe Don Baker,426.0,81022333.0,Dylan Walsh,Congo ,34471,1761,Grant Heslov,0.0,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,147.0,English,USA,PG-13,50000000.0,1995-01-01,387.0,5.0,PG-13,0,0,1,0,0,0,21
949,Color,Cameron Crowe,257.0,124.0,488.0,1000.0,Matt Damon,19000.0,75621915.0,Scarlett Johansson,We Bought a Zoo ,111003,36873,Stephanie Szostak,3.0,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,199.0,English,USA,PG,54076105.4,2011-01-01,13000.0,7.1,PG,0,1,0,0,0,0,5
950,Color,Alex Proyas,279.0,121.0,295.0,329.0,Ben Mendelsohn,12000.0,79948113.0,Nicolas Cage,Knowing ,186879,13421,Chandler Canterbury,0.0,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,791.0,English,USA,PG-13,50000000.0,2009-01-01,748.0,6.2,PG-13,0,0,1,0,0,0,7
951,Color,Tom Dey,143.0,95.0,9.0,11000.0,Matthew McConaughey,14000.0,88658172.0,Bradley Cooper,Failure to Launch ,58412,37967,Zooey Deschanel,2.0,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,242.0,English,USA,PG-13,50000000.0,2006-01-01,11000.0,5.6,PG-13,0,0,1,0,0,0,10
952,Color,Hideo Nakata,196.0,128.0,62.0,874.0,Gary Cole,6000.0,75888270.0,Naomi Watts,The Ring Two ,71153,10163,Sissy Spacek,0.0,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,560.0,English,USA,PG-13,53681048.4,2005-01-01,989.0,5.4,PG-13,0,0,1,0,0,0,11
953,Color,Glenn Ficarra,310.0,118.0,43.0,7000.0,Emma Stone,33000.0,84244877.0,Ryan Gosling,"Crazy, Stupid, Love. ",375456,57426,Steve Carell,7.0,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,292.0,English,USA,PG-13,50000000.0,2011-01-01,15000.0,7.4,PG-13,0,0,1,0,0,1,5
954,Color,Peter Hewitt,116.0,80.0,12.0,58.0,Mark Christopher Lawrence,13000.0,75367693.0,Bill Murray,Garfield ,58961,13430,Michael Monks,0.0,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,232.0,English,USA,PG,35000000.0,2004-01-01,258.0,5.0,PG,0,1,0,0,0,0,12
955,Color,Joe Roth,105.0,99.0,148.0,660.0,Cheech Marin,2000.0,73701902.0,Jamie Lee Curtis,Christmas with the Kranks ,27548,6729,Jake Busey,1.0,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,209.0,English,USA,PG,60000000.0,2004-01-01,843.0,5.2,PG,0,1,0,0,0,0,12
956,Color,Bennett Miller,419.0,133.0,152.0,11000.0,Robin Wright,22000.0,75605492.0,Philip Seymour Hoffman,Moneyball ,283563,53094,Brad Pitt,1.0,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,312.0,English,USA,PG-13,50000000.0,2011-01-01,18000.0,7.6,PG-13,0,0,1,0,0,0,5
957,Color,Wolfgang Petersen,64.0,127.0,249.0,808.0,Morgan Freeman,18000.0,67823573.0,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,3.0,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,130.0,English,USA,R,50000000.0,1995-01-01,11000.0,6.6,R,0,0,0,1,0,0,21
959,Color,Andy Fickman,166.0,98.0,99.0,433.0,Billy Brown,12000.0,67128202.0,Dwayne Johnson,Race to Witch Mountain ,43328,14007,Tom Everett Scott,3.0,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,110.0,English,USA,PG,65000000.0,2009-01-01,536.0,5.7,PG,0,1,0,0,0,0,7
960,Color,James McTeigue,525.0,132.0,160.0,443.0,Eddie Marsan,20000.0,70496802.0,Natalie Portman,V for Vendetta ,791783,22417,Rupert Graves,1.0,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,2042.0,English,USA,R,54000000.0,2005-01-01,979.0,8.2,R,0,0,0,1,0,0,11
961,Color,David Dobkin,165.0,114.0,71.0,55.0,Anna-Louise Plowman,154.0,60470220.0,Fann Wong,Shanghai Knights ,81444,428,Georgina Chapman,2.0,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,192.0,English,USA,PG-13,50000000.0,2003-01-01,131.0,6.2,PG-13,0,0,1,0,0,0,13
963,Color,Matthew O'Callaghan,87.0,78.0,5.0,1000.0,Frank Welker,8000.0,58336565.0,Will Ferrell,Curious George ,12845,11124,Alexander Gould,0.0,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,118.0,English,USA,G,50000000.0,2006-01-01,2000.0,6.6,G,1,0,0,0,0,0,10
964,Color,Angela Robinson,117.0,101.0,23.0,541.0,Thomas Lennon,660.0,66002004.0,Scoot McNairy,Herbie Fully Loaded ,36431,2177,Cheryl Hines,1.0,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,168.0,English,USA,G,50000000.0,2005-01-01,651.0,4.7,G,1,0,0,0,0,0,11
965,Color,Gary Fleder,113.0,113.0,39.0,477.0,Jennifer Esposito,1000.0,54997476.0,Oliver Platt,Don't Say a Word ,40362,3341,Conrad Goode,0.0,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,248.0,English,USA,R,50000000.0,2001-01-01,912.0,6.3,R,0,0,0,1,0,0,15
967,Color,Adrian Lyne,152.0,124.0,213.0,372.0,Erik Per Sullivan,838.0,52752475.0,Olivier Martinez,Unfaithful ,63067,2583,Chad Lowe,0.0,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,533.0,English,USA,R,50000000.0,2002-01-01,593.0,6.7,R,0,0,0,1,0,0,14
968,Color,D.J. Caruso,288.0,109.0,154.0,144.0,Emily Wickersham,15000.0,55092830.0,Alex Pettyfer,I Am Number Four ,195043,15608,Reuben Langdon,1.0,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,329.0,English,USA,PG-13,60000000.0,2011-01-01,348.0,6.1,PG-13,0,0,1,0,0,0,5
969,Color,Stephen Gaghan,358.0,128.0,79.0,414.0,Amr Waked,13000.0,50815288.0,Matt Damon,Syriana ,109188,14747,Kayvan Novak,0.0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625.0,English,USA,R,50000000.0,2005-01-01,903.0,7.0,R,0,0,0,1,0,0,11
970,Color,Michael Bay,204.0,144.0,0.0,681.0,James Badge Dale,769.0,52822418.0,Toby Stephens,13 Hours ,47764,3580,David Costabile,0.0,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219.0,English,USA,R,50000000.0,2016-01-01,726.0,7.4,R,0,0,0,1,0,0,0
971,Color,Jorge R. Gutiérrez,156.0,95.0,34.0,679.0,Hector Elizondo,17000.0,50150619.0,Channing Tatum,The Book of Life ,45580,19513,Ana de la Reguera,1.0,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,102.0,English,USA,PG,50000000.0,2014-01-01,995.0,7.3,PG,0,1,0,0,0,0,2
972,Color,Richard Loncraine,171.0,105.0,12.0,935.0,Harrison Ford,87000.0,48745150.0,Jimmy Bennett,Firewall ,50170,101383,Mary Lynn Rajskub,1.0,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,306.0,English,USA,PG-13,50000000.0,2006-01-01,11000.0,5.8,PG-13,0,0,1,0,0,1,10
973,Color,Clint Eastwood,76.0,121.0,16000.0,826.0,Mark Margolis,16000.0,50007168.0,Clint Eastwood,Absolute Power ,39529,19139,Scott Glenn,0.0,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,142.0,English,USA,R,50000000.0,1997-01-01,1000.0,6.7,R,0,0,0,1,0,0,19
974,Color,Ridley Scott,97.0,125.0,0.0,957.0,Demi Moore,10000.0,48154732.0,Viggo Mortensen,G.I. Jane ,60326,15569,John Michael Higgins,1.0,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,142.0,English,USA,R,50000000.0,1997-01-01,2000.0,5.8,R,0,0,0,1,0,0,19
975,Color,David Fincher,157.0,129.0,21000.0,283.0,Armin Mueller-Stahl,495.0,48265581.0,Deborah Kara Unger,The Game ,261069,1397,Charles Martinet,1.0,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,506.0,English,USA,R,50000000.0,1997-01-01,294.0,7.8,R,0,0,0,1,0,0,19
977,Color,Howard Deutch,118.0,118.0,41.0,585.0,Jon Favreau,18000.0,44737059.0,Keanu Reeves,The Replacements ,48322,24024,Faizon Love,1.0,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,261.0,English,USA,PG-13,50000000.0,2000-01-01,4000.0,6.5,PG-13,0,0,1,0,0,0,16
978,Color,Jon Hurwitz,291.0,113.0,22.0,1000.0,Dania Ramirez,3000.0,56724080.0,Alyson Hannigan,American Reunion ,172112,8398,Natasha Lyonne,7.0,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,181.0,English,USA,R,50000000.0,2012-01-01,1000.0,6.7,R,0,0,0,1,0,0,4
980,Color,Steven Quale,228.0,89.0,77.0,159.0,Alycia Debnam-Carey,490.0,47553512.0,Matt Walsh,Into the Storm ,54101,1367,Scott Lawrence,0.0,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,210.0,English,USA,PG-13,50000000.0,2014-01-01,298.0,5.8,PG-13,0,0,1,0,0,0,2
981,Color,John Landis,36.0,104.0,644.0,174.0,Jon Tenney,437.0,42610000.0,Louis Lombardi,Beverly Hills Cop III ,60293,1093,Gilbert R. Hill,1.0,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,114.0,English,USA,R,55000000.0,1994-01-01,289.0,5.5,R,0,0,0,1,0,0,22
982,Color,Joe Dante,105.0,106.0,287.0,767.0,Robert Picardo,16000.0,41482207.0,Christopher Lee,Gremlins 2: The New Batch ,68428,19610,Phoebe Cates,0.0,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,148.0,English,USA,PG-13,50000000.0,1990-01-01,823.0,6.3,PG-13,0,0,1,0,0,0,26
983,Color,David Dobkin,276.0,141.0,71.0,3000.0,Robert Duvall,21000.0,47105085.0,Robert Downey Jr.,The Judge ,136973,30183,Leighton Meester,1.0,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,275.0,English,USA,R,50000000.0,2014-01-01,3000.0,7.4,R,0,0,0,1,0,0,2
984,Color,Mimi Leder,93.0,124.0,75.0,258.0,Holt McCallany,294.0,41256277.0,Armin Mueller-Stahl,The Peacemaker ,46451,1289,Marcel Iures,2.0,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,156.0,English,USA,R,50000000.0,1997-01-01,273.0,5.9,R,0,0,0,1,0,0,19
987,Color,Carl Franklin,124.0,114.0,73.0,323.0,Sanaa Lathan,18000.0,40905277.0,Denzel Washington,Out of Time ,45895,19739,John Billingsley,3.0,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,157.0,English,USA,R,50000000.0,2003-01-01,886.0,6.5,R,0,0,0,1,0,0,13
988,Color,Steven Seagal,47.0,101.0,0.0,158.0,Joan Chen,854.0,38590500.0,Mike Starr,On Deadly Ground ,17997,1860,Sven-Ole Thorsen,1.0,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,140.0,English,USA,R,50000000.0,1994-01-01,643.0,4.4,R,0,0,0,1,0,0,22
989,Color,Robert Rodriguez,66.0,93.0,0.0,717.0,Kristin Davis,12000.0,39177541.0,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,Taylor Dooley,1.0,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,177.0,English,USA,PG,50000000.0,2005-01-01,722.0,3.5,PG,0,1,0,0,0,0,11
990,Color,Danny Boyle,118.0,119.0,0.0,39.0,Virginie Ledoyen,29000.0,39778599.0,Leonardo DiCaprio,The Beach ,176169,29461,Peter Youngblood Hills,0.0,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,548.0,English,USA,R,50000000.0,2000-01-01,414.0,6.6,R,0,0,0,1,0,0,16
991,Color,Garry Marshall,93.0,119.0,0.0,434.0,Felicity Huffman,627.0,37486138.0,Amber Valletta,Raising Helen ,30890,2052,Spencer Breslin,1.0,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,106.0,English,USA,PG-13,50000000.0,2004-01-01,508.0,6.0,PG-13,0,0,1,0,0,0,12
992,Color,James McTeigue,235.0,99.0,160.0,72.0,Ben Miles,330.0,38105077.0,Shô Kosugi,Ninja Assassin ,58349,701,Rain,0.0,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,194.0,English,USA,R,40000000.0,2009-01-01,119.0,6.4,R,0,0,0,1,0,0,7
993,Color,Sam Raimi,113.0,137.0,0.0,432.0,Kelly Preston,24000.0,35168395.0,J.K. Simmons,For Love of the Game ,26034,25469,Carmine Giovinazzo,0.0,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,226.0,English,USA,PG-13,50000000.0,1999-01-01,743.0,6.5,PG-13,0,0,1,0,0,0,17
995,Color,Andrew Bergman,51.0,117.0,31.0,210.0,Rumer Willis,2000.0,32800000.0,Demi Moore,Striptease ,34896,3016,Paul Guilfoyle,1.0,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,118.0,English,USA,R,40000000.0,1996-01-01,472.0,4.3,R,0,0,0,1,0,0,20
996,Color,Tom Dey,98.0,87.0,9.0,1000.0,Judy Greer,15000.0,33643461.0,Emma Stone,Marmaduke ,11257,20061,Steve Coogan,0.0,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,65.0,English,USA,PG,50000000.0,2010-01-01,2000.0,4.2,PG,0,1,0,0,0,0,6
997,Color,Clint Eastwood,315.0,129.0,16000.0,447.0,Jay Mohr,13000.0,32741596.0,Matt Damon,Hereafter ,80140,14344,Cécile De France,0.0,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,323.0,English,USA,PG-13,50000000.0,2010-01-01,563.0,6.5,PG-13,0,0,1,0,0,0,6
998,Color,Barbet Schroeder,136.0,115.0,58.0,401.0,Chris Penn,33000.0,31874869.0,Ryan Gosling,Murder by Numbers ,43574,34606,Agnes Bruckner,0.0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302.0,English,USA,R,50000000.0,2002-01-01,455.0,6.1,R,0,0,0,1,0,1,14
1001,Color,Rob Reiner,99.0,95.0,0.0,323.0,Tim Matheson,13000.0,27067160.0,Bruce Willis,The Story of Us ,18404,14706,Rita Wilson,1.0,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,150.0,English,USA,R,50000000.0,1999-01-01,559.0,5.9,R,0,0,0,1,0,0,17
1002,Color,Andrew Niccol,298.0,125.0,487.0,201.0,Chandler Canterbury,430.0,26616999.0,J.D. Evermore,The Host ,92461,1300,Rachel Roberts,3.0,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,347.0,English,USA,PG-13,40000000.0,2013-01-01,329.0,5.9,PG-13,0,0,1,0,0,0,3
1004,Color,Clint Eastwood,146.0,110.0,16000.0,581.0,Anjelica Huston,16000.0,26199517.0,Clint Eastwood,Blood Work ,34356,18635,Rick Hoffman,1.0,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,260.0,English,USA,R,50000000.0,2002-01-01,1000.0,6.4,R,0,0,0,1,0,0,14
1005,Color,Tom Tykwer,245.0,118.0,670.0,294.0,Brían F. O'Byrne,6000.0,25450527.0,Naomi Watts,The International ,80196,7654,Armin Mueller-Stahl,0.0,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,190.0,English,USA,R,50000000.0,2009-01-01,450.0,6.5,R,0,0,0,1,0,0,7
1006,Color,John Carpenter,104.0,101.0,0.0,764.0,Valeria Golino,12000.0,25407250.0,Steve Buscemi,Escape from L.A. ,54021,15935,Michelle Forbes,0.0,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,227.0,English,USA,R,50000000.0,1996-01-01,898.0,5.7,R,0,0,0,1,0,0,20
1008,Color,Brad Bird,162.0,90.0,663.0,521.0,Harry Connick Jr.,14000.0,23159305.0,Vin Diesel,The Iron Giant ,128455,16358,M. Emmet Walsh,1.0,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,514.0,English,USA,PG,70000000.0,1999-01-01,631.0,8.0,PG,0,1,0,0,0,0,17
1009,Color,Wes Anderson,259.0,119.0,0.0,639.0,Anjelica Huston,13000.0,24006726.0,Bill Murray,The Life Aquatic with Steve Zissou ,139535,15757,Matthew Gray Gubler,8.0,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,632.0,English,USA,R,50000000.0,2004-01-01,1000.0,7.3,R,0,0,0,1,0,0,12
1010,Color,Gary Ross,79.0,139.0,378.0,303.0,Donald Watkins,11000.0,20389967.0,Matthew McConaughey,Free State of Jones ,3077,12786,Jessica Collins,1.0,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,47.0,English,USA,R,50000000.0,2016-01-01,552.0,6.7,R,0,0,0,1,0,0,0
1011,Color,Alan Parker,141.0,130.0,317.0,256.0,Kate Winslet,18000.0,19593740.0,Kevin Spacey,The Life of David Gale ,88270,32637,Matt Craven,0.0,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,420.0,English,USA,R,50000000.0,2003-01-01,14000.0,7.5,R,0,0,0,1,0,0,13
1012,Color,Stephen Herek,59.0,100.0,65.0,730.0,Vanessa Ferlito,1000.0,19118247.0,Christina Milian,Man of the House ,19829,6171,Kelli Garner,5.0,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,94.0,English,USA,PG-13,40000000.0,2005-01-01,923.0,5.4,PG-13,0,0,1,0,0,0,11
1013,Color,Jaume Collet-Serra,236.0,114.0,174.0,655.0,Common,14000.0,26442251.0,Liam Neeson,Run All Night ,76010,16992,Bruce McGill,2.0,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,205.0,English,USA,R,50000000.0,2015-01-01,988.0,6.6,R,0,0,0,1,0,0,1
1014,Color,David Cronenberg,356.0,96.0,0.0,509.0,Naomi Watts,10000.0,17114882.0,Viggo Mortensen,Eastern Promises ,189249,17211,Raza Jaffrey,1.0,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,398.0,English,USA,R,25000000.0,2007-01-01,6000.0,7.7,R,0,0,0,1,0,0,9
1015,Color,John Stockwell,120.0,110.0,134.0,795.0,James Frain,23000.0,18472363.0,Paul Walker,Into the Blue ,63599,25049,Ashley Scott,3.0,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,208.0,English,USA,PG-13,50000000.0,2005-01-01,1000.0,5.8,PG-13,0,0,1,0,0,0,11
1017,Color,David Gordon Green,208.0,102.0,234.0,11000.0,Zooey Deschanel,20000.0,21557240.0,Natalie Portman,Your Highness ,85237,45202,James Franco,3.0,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,274.0,English,USA,R,49900000.0,2011-01-01,11000.0,5.6,R,0,0,0,1,0,0,5
1018,Color,Jim Sheridan,174.0,84.0,260.0,692.0,Gregory Smith,6000.0,21283440.0,Naomi Watts,Dream House ,46239,8018,Sarah Gadon,0.0,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,137.0,English,USA,PG-13,55000000.0,2011-01-01,694.0,6.0,PG-13,0,0,1,0,0,0,5
1019,Color,Costa-Gavras,59.0,115.0,333.0,317.0,Blythe Danner,972.0,10556196.0,Mia Kirshner,Mad City ,16562,2606,William Atherton,2.0,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,73.0,English,USA,PG-13,50000000.0,1997-01-01,713.0,6.2,PG-13,0,0,1,0,0,0,19
1020,Color,Patrick Read Johnson,22.0,99.0,32.0,479.0,Lara Flynn Boyle,1000.0,16671505.0,Joe Mantegna,Baby's Day Out ,33186,2949,Cynthia Nixon,1.0,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,78.0,English,USA,PG,50000000.0,1994-01-01,619.0,5.9,PG,0,1,0,0,0,0,22
1021,Color,Roland Joffé,34.0,135.0,596.0,2000.0,Robert Duvall,10000.0,10400000.0,Gary Oldman,The Scarlet Letter ,12037,15820,Demi Moore,1.0,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,90.0,English,USA,R,50000000.0,1995-01-01,3000.0,5.1,R,0,0,0,1,0,0,21
1022,Color,Doug Liman,214.0,108.0,218.0,405.0,Ty Burrell,6000.0,9528092.0,Naomi Watts,Fair Game ,38513,10191,Brooke Smith,2.0,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,127.0,English,USA,PG-13,22000000.0,2010-01-01,3000.0,6.8,PG-13,0,0,1,0,0,0,6
1025,Color,William Friedkin,50.0,107.0,607.0,602.0,Chazz Palminteri,2000.0,9795017.0,Michael Biehn,Jade ,9227,5461,Linda Fiorentino,0.0,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,70.0,English,USA,R,50000000.0,1995-01-01,979.0,5.1,R,0,0,0,1,0,0,21
1026,Color,Mark Neveldine,180.0,95.0,83.0,1000.0,Logan Lerman,18000.0,20488579.0,Gerard Butler,Gamer ,113483,29926,Alison Lohman,1.0,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,245.0,English,USA,R,50000000.0,2009-01-01,8000.0,5.8,R,0,0,0,1,0,0,7
1027,Color,Richard LaGravenese,231.0,124.0,98.0,592.0,Zoey Deutch,1000.0,19445217.0,Alden Ehrenreich,Beautiful Creatures ,67796,3580,Pruitt Taylor Vince,7.0,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,258.0,English,USA,PG-13,60000000.0,2013-01-01,852.0,6.2,PG-13,0,0,1,0,0,0,3
1029,Color,Ben Stiller,226.0,102.0,0.0,1000.0,Will Ferrell,14000.0,28837115.0,Milla Jovovich,Zoolander 2 ,34964,24107,Justin Theroux,4.0,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,150.0,English,USA,PG-13,50000000.0,2016-01-01,8000.0,4.8,PG-13,0,0,1,0,0,0,0
1030,Color,George Armitage,75.0,88.0,5.0,338.0,Andrew Wilson,11000.0,6471394.0,Morgan Freeman,The Big Bounce ,15880,11972,Willie Nelson,5.0,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,93.0,English,USA,PG-13,50000000.0,2004-01-01,387.0,4.9,PG-13,0,0,1,0,0,0,12
1031,Color,Mike Nichols,82.0,87.0,0.0,591.0,Linda Fiorentino,2000.0,6291602.0,Judy Greer,What Planet Are You From? ,8070,3954,Garry Shandling,0.0,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,91.0,English,USA,R,50000000.0,2000-01-01,602.0,5.6,R,0,0,0,1,0,0,16
1032,Color,Patrick Lussier,296.0,104.0,71.0,982.0,Billy Burke,12000.0,10706786.0,Nicolas Cage,Drive Angry ,81800,16481,Katy Mixon,1.0,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,211.0,English,USA,R,50000000.0,2011-01-01,2000.0,5.5,R,0,0,0,1,0,0,5
1034,Color,James Wong,98.0,85.0,70.0,848.0,Jet Li,26000.0,43905746.0,Jason Statham,The One ,77684,32831,Delroy Lindo,1.0,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294.0,English,USA,PG-13,49000000.0,2001-01-01,5000.0,5.9,PG-13,0,0,1,0,0,0,15
1036,Color,Renny Harlin,48.0,104.0,212.0,380.0,Gilbert Gottfried,879.0,21413502.0,Lauren Holly,The Adventures of Ford Fairlane ,14429,2795,David Patrick Kelly,5.0,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,113.0,English,USA,R,40000000.0,1990-01-01,560.0,6.3,R,0,0,0,1,0,0,26
1038,Color,Steven Soderbergh,223.0,190.0,0.0,215.0,Jacob Vargas,599.0,124107476.0,Michael O'Neill,Traffic ,170684,1418,James Lew,0.0,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,867.0,English,USA,R,48000000.0,2000-01-01,399.0,7.6,R,0,0,0,1,0,0,16
1039,Color,Steven Spielberg,149.0,127.0,14000.0,440.0,Julian Glover,11000.0,197171806.0,Harrison Ford,Indiana Jones and the Last Crusade ,515306,12884,Alison Doody,5.0,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,477.0,English,USA,PG-13,48000000.0,1989-01-01,844.0,8.3,PG-13,0,0,1,0,0,0,27
1041,Color,Neill Blomkamp,371.0,120.0,662.0,502.0,Sharlto Copley,20000.0,31569268.0,Hugh Jackman,Chappie ,172965,23051,Jose Pablo Cantillo,0.0,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627.0,English,USA,R,49000000.0,2015-01-01,2000.0,6.9,R,0,0,0,1,0,0,1
1042,Color,Phillip Noyce,75.0,118.0,176.0,308.0,Angelina Jolie Pitt,18000.0,66488090.0,Denzel Washington,The Bone Collector ,120202,29748,Leland Orser,2.0,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,397.0,English,USA,R,48000000.0,1999-01-01,11000.0,6.7,R,0,0,0,1,0,0,17
